service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","1","0","0","0","0","0","0","20200813","20201224"
"1#1","0","0","0","0","0","1","0","20200816","20200926"
"1#2","0","0","0","0","0","0","1","20200813","20210131"
"10","0","1","0","0","0","0","0","20200813","20210131"
"10541","1","0","0","0","0","0","0","20200813","20201220"
"10547","0","0","0","0","0","0","1","20200813","20201220"
"10551","1","0","0","0","0","0","0","20200813","20201220"
"10552","0","1","0","0","0","0","0","20200813","20201220"
"10553","0","0","1","0","0","0","0","20200813","20201220"
"10554","0","0","0","1","0","0","0","20200813","20201220"
"10555","0","0","0","0","1","0","0","20200813","20201220"
"10566","0","0","0","0","0","1","0","20200813","20201220"
"11","0","0","1","0","0","0","0","20200813","20210131"
"12","0","0","0","1","0","0","0","20200813","20210131"
"121","0","0","0","0","0","0","1","20200813","20201011"
"122","1","0","0","0","0","0","0","20200813","20201011"
"123","0","1","0","0","0","0","0","20200813","20201011"
"124","0","0","1","0","0","0","0","20200813","20201011"
"125","0","0","0","1","0","0","0","20200813","20201011"
"126","0","0","0","0","1","0","0","20200813","20201011"
"127","0","0","0","0","0","1","0","20200813","20201011"
"13","0","0","0","0","1","0","0","20200813","20210131"
"14","0","0","0","0","0","1","0","20200813","20210131"
"2","0","1","0","0","0","0","0","20200813","20201224"
"2#1","1","1","1","1","1","0","0","20200816","20200926"
"2#2","1","0","0","0","0","0","0","20200813","20210131"
"3","0","0","1","0","0","0","0","20200813","20201224"
"3#1","0","0","0","0","0","0","1","20200816","20200926"
"3#2","0","1","0","0","0","0","0","20200813","20210131"
"4","0","0","0","1","0","0","0","20200813","20201224"
"4#1","0","0","1","0","0","0","0","20200813","20210131"
"5","0","0","0","0","1","0","0","20200813","20201224"
"5#1","0","0","0","1","0","0","0","20200813","20210131"
"6","0","0","0","0","0","1","0","20200813","20201224"
"6#1","0","0","0","0","1","0","0","20200813","20210131"
"7","0","0","0","0","0","0","1","20200813","20201224"
"7#1","0","0","0","0","0","1","0","20200813","20210131"
"8","1","0","0","0","0","0","0","20200813","20201224"
"8#1","0","0","0","0","0","0","1","20200813","20210131"
"9","1","0","0","0","0","0","0","20200813","20210131"
"Mo-Fr","1","1","1","1","1","0","0","20200813","20201231"
"Sat","0","0","0","0","0","1","0","20200813","20201231"
"Sun","0","0","0","0","0","0","1","20200813","20201231"
"y1001","0","0","0","0","0","1","0","20200813","20200815"
"y1002","0","0","0","1","1","0","0","20200813","20200815"
